name,heals,boosts,timeSurvived
17_Lilghost,3.83,4.75,1283.42
17_SuJiu,3.17,3.92,1090.83
17_Xbei,2.58,3.75,1206.75
17_xwudd,2.75,1.58,1000.67
4AM_CRAZY112,2.42,5.33,1300.0
4AM_Summer,2.33,2.83,1266.58
4AM_WangZai,2.83,3.5,1315.83
4AM_Xiaohaixxxx,1.92,4.33,1307.67
4AM_xxxLu,1.33,3.0,1315.0
ACE_ItzzChrizZ,2.92,2.75,1211.08
ACE_KILYAKAi,2.58,4.0,1352.67
ACE_Myca,3.0,4.25,1356.92
ACE_braex,2.0,3.0,1324.58
CES_HaiSaki,2.33,3.0,1009.58
CES_Himass,3.0,3.83,1204.25
CES_Taikonn,3.25,4.33,1136.33
CES_YmCud,4.58,2.58,1159.92
DAY_Belmoth,3.58,4.17,1381.5
DAY_Flash,3.33,3.08,1364.25
DAY_Nourinz,2.58,2.42,1192.67
DAY_PuuChiwz,2.33,3.08,1246.17
DNW_Inonix,3.0,4.0,1429.5
DNW_Loki,4.42,4.83,1467.92
DNW_Salute,2.92,3.0,1315.25
DNW_seoul,3.5,7.17,1472.58
EXO_Akita,2.42,3.17,1250.67
EXO_Hikerman,2.67,2.33,1244.17
EXO_Rain,2.0,2.75,1279.67
EXO_empt,2.58,6.75,1365.25
EXO_kang,1.5,2.83,1347.33
FaZe_Fexx,1.83,2.0,968.58
FaZe_Gustav,5.0,2.75,1070.83
FaZe_curexi,3.25,3.33,1072.5
FaZe_jeemzz,3.0,3.0,1088.17
GBL_Glaz,1.58,4.17,1200.33
GBL_Gyumin,4.67,4.5,1449.83
GBL_Heaven,4.0,4.83,1387.17
GBL_Tosi,2.17,3.83,1365.83
GEN_DG98,2.25,2.33,1152.33
GEN_Foxy,1.58,2.42,1081.75
GEN_Pio,2.92,3.42,1166.33
GEN_taemin,2.33,3.75,1096.75
GEX_Leo,1.92,2.0,1099.5
GEX_Savior,1.83,3.25,1213.08
GEX_Yuri,1.83,4.0,1215.42
GEX_ZhenNan,2.33,3.83,1266.25
HOWL_Apocalyp,2.83,2.75,1102.67
HOWL_RuerN,4.83,3.67,1188.83
HOWL_TheMad,2.67,1.92,1099.42
HOWL_scof1eld,4.42,2.75,1139.42
III_Adam,2.92,2.17,1222.67
III_RichyB,2.33,2.25,1222.75
III_Vox,1.83,2.17,1156.33
III_oldless,2.17,2.92,1152.25
LG_Fludd,2.58,3.33,1463.83
LG_Kickstart,3.92,4.17,1552.75
LG_Relo,2.67,3.58,1435.83
LG_Snakers,4.08,4.58,1406.75
NAVI_Mell,2.83,1.67,958.92
NAVI_alya,4.83,3.33,1061.92
NAVI_ubah,4.08,2.42,1061.58
NAVI_xmpl,4.08,1.83,965.08
NH_HSmm,1.67,2.17,1216.0
NH_MMing,2.33,3.33,1339.42
NH_Nannnnn,1.83,4.42,1378.25
NH_ZpYan1,2.58,4.33,1366.17
PLM_BORBO4Tz,1.42,1.5,1106.33
PLM_Flukky,1.67,3.0,1085.67
PLM_ThanawatTH,2.58,3.0,1125.42
PLM_Thunderz,0.83,2.42,1000.75
PTG_Adder,3.92,1.17,837.67
PTG_Akad,1.33,1.67,773.25
PTG_Hikari,2.58,1.75,897.33
PTG_WICKED,1.5,1.58,884.42
PeRo_AZ,2.92,3.75,1249.83
PeRo_Aixleft,3.33,3.92,1326.08
PeRo_Cui71,3.42,2.58,1264.25
PeRo_Myl,1.75,3.17,1246.67
SQ_M1ME,4.17,4.33,1297.67
SQ_Shrimzy,2.83,3.0,1299.92
SQ_TGLTN,2.42,3.0,1284.58
SQ_hwinn,3.33,3.75,1279.25
SST_Feaven,1.83,2.33,1080.75
SST_Imhac,2.25,3.5,1110.75
SST_Runax,1.92,2.08,1133.83
SST_Tae9,3.33,3.17,1214.5
STK_PurdyKurty,3.75,4.0,1351.0
STK_Vegas,2.58,3.75,1274.17
STK_alow,3.17,3.0,1142.0
STK_penta,1.42,3.17,1285.42
TWIS_BatulinS,7.92,3.33,1179.17
TWIS_Lu,3.0,2.08,1177.0
TWIS_Perfect1ks,6.33,2.5,1211.83
TWIS_TheTab,1.0,2.33,1283.0
TWIS_spyrro,3.08,3.33,1214.33
Tian_77owo,1.92,2.08,1261.0
Tian_LinShu,1.5,1.83,1152.42
Tian_LongSkr,2.17,2.42,1032.75
Tian_PaoPao,2.08,2.17,1141.0
